feature,weight
arya,1.7228037217593095
gendry,1.1019386518113081
needle,0.85427863585415353
syrio,0.82292751157173594
yoren,0.666536063100447
aryas,0.66391486089080332
pie,0.62616201540523109
jaqen,0.6017176634959791
lem,0.58355751956057877
tom,0.57897401188716191
shed,0.56715047890884462
lip,0.52336116328349314
forel,0.51373136011766296
wasnt,0.49840828405266152
hound,0.49371868774789701
arry,0.49238741059553642
hghar,0.48518185647371032
polliver,0.48184762728442654
anguy,0.48048214324307459
maybe,0.47943381619542264
lommy,0.47937971049329187
didnt,0.46762394491378206
tickler,0.46364901177991774
raff,0.44634201495997655
harwin,0.44373395142525462
weese,0.43965020192303683
hadnt,0.42076844617704628
dunsen,0.40152342661228468
stupid,0.39604957978503896
wagon,0.3904989829762604
mycah,0.38196660930194964
needlework,0.37803413895673998
valar,0.37387898381118634
weasel,0.3618012787766916
beric,0.35886585837324381
stick,0.35882916560374389
thoros,0.35373599050839644
sevenstrings,0.35129371371619533
morghulis,0.34393242724596473
heres,0.33267021606517089
theyd,0.33218879150930564
clegane,0.32930484697859319
mordane,0.32617002430764352
greenbeard,0.31741104323585012
cuts,0.3170438261947231
harrenhal,0.31586860261386979
deeper,0.31462482916982604
wouldnt,0.31168187254305824
bet,0.31147809702502072
nymeria,0.3108675996104982
chewed,0.30349016060541351
biter,0.30127130010586017
wayn,0.29370532062133892
stitches,0.28915193883285684
rorge,0.27927001653229072
septa,0.27508885095097968
amory,0.27041873436070685
scared,0.26915032526213173
coppers,0.26666848828813466
mummers,0.26365991740418337
lemoncloak,0.26129862929550374
wolves,0.26107185788428372
gendrys,0.25627172490922551
outlaws,0.25221780192253684
sandor,0.25008866513188327
lot,0.24929639932957437
acorn,0.24327521755199058
greenhands,0.24128317260673096
pitchfork,0.23907232438917797
sevens,0.23578558828489202
jeyne,0.23399484109473029
wagons,0.23210090214101059
pies,0.23191202215648848
pack,0.23177526519995792
gregor,0.22466448857338545
jack,0.22094908138075198
chiswyck,0.22088947406255843
archer,0.21948926051261197
snatched,0.21946862572134507
sergeant,0.21757736692888624
nan,0.21721367599150782
scare,0.21664301845273934
priest,0.21419692958202993
temple,0.21088328696007641
whisper,0.20953799151498012
splashed,0.20916212575172333
shallows,0.20819480683135383
lumpyhead,0.20682847294381035
blowing,0.20556030957651908
probably,0.20520372377436411
cats,0.204452817002299
tomcat,0.20399376222588989
sweetling,0.20398170777524929
lucky,0.20134465213418901
meryn,0.20115284896308103
started,0.20054498794838699
belt,0.19965647702920328
braavos,0.19881954081294537
kingspyre,0.19812149498204651
cupbearer,0.1971323810554399
bull,0.19424515574754708
village,0.19411710151247411
practice,0.19149606613556447
