feature,weight
arya,1.7228037217593095
gendry,1.1019386518113081
needle,0.85427863585415353
syrio,0.82292751157173594
yoren,0.666536063100447
aryas,0.66391486089080332
pie,0.62616201540523109
jaqen,0.6017176634959791
lem,0.58355751956057877
tom,0.57897401188716191
shed,0.56715047890884462
lip,0.52336116328349314
forel,0.51373136011766296
wasnt,0.49840828405266152
hound,0.49371868774789701
arry,0.49238741059553642
hghar,0.48518185647371032
polliver,0.48184762728442654
anguy,0.48048214324307459
maybe,0.47943381619542264
