feature,weight
whores,-0.17198887759626869
luwin,-0.17681914682525499
stannis,-0.17803966535805418
wildling,-0.17916664703088431
chain,-0.18669234911936033
dragon,-0.18773485279284871
walder,-0.19400095555660563
aemon,-0.19576489096943767
ice,-0.2039086567694971
wildlings,-0.21806714967198104
jojen,-0.22021561653207164
dontos,-0.22340034600191921
sam,-0.22796568133847286
meera,-0.23172878061214905
uncle,-0.23585683488086015
brans,-0.25582059488566855
hodor,-0.30470359868212143
brienne,-0.34289539770711136
jaime,-0.38191833059454111
tyrion,-0.41606558476376382
