feature,weight
hodor,1.4550190379973114
bran,1.4491180092791418
meera,0.9787098886773804
jojen,0.93230684128228225
brans,0.93097274607904168
luwin,0.85602241977580396
osha,0.78454077673487177
nan,0.67958953077116657
crow,0.60779082788470484
summer,0.57027527150711976
hodors,0.52179289141899066
reed,0.48495426344411713
shaggydog,0.47859301503958174
rickon,0.43033672554585783
pony,0.41400133047156717
basket,0.37438551531614772
direwolves,0.35627596326724414
fly,0.35556502846674837
jory,0.3180031984294443
frog,0.30879691428935735
mikken,0.3061701796502293
dreams,0.29854721744636514
rodrik,0.29321328919343748
theon,0.28598601733289175
dizzily,0.28242512953544352
reeds,0.2739014595104014
howled,0.2695005527209034
muzzle,0.26872660905334872
hullen,0.26504543321512641
pups,0.26108284662037307
eyed,0.25858771633225919
dream,0.25715164155836118
hayhead,0.25712530765312352
really,0.25489675400325279
earth,0.2536391412954811
brandon,0.25190633597091511
greyjoy,0.2503043330565381
luwins,0.24991361620508587
stiv,0.24571255460131891
direwolf,0.24337638933872088
tree,0.24204776204826378
walder,0.23898006078628875
hornwood,0.23894417259932382
stableboy,0.23780060689595878
stories,0.23636231907708524
leaves,0.23523963405292658
coldhands,0.23296436144835642
alebelly,0.23145439089526623
gargoyles,0.2311128467452736
summers,0.22940564454056259
robbs,0.22812533205827351
falling,0.22590914161219855
wolfswood,0.22579556113097843
pup,0.22530541313175456
spear,0.22302486589503168
swam,0.22182711536279992
climbing,0.22141352651833585
race,0.22099678604841799
dancer,0.22004998024458608
baby,0.21576152260518919
weirwood,0.21569554032818999
gage,0.21452859743022237
clay,0.2135268376346745
maybe,0.21181988372826305
joseth,0.21166769267830923
wolves,0.21034328415335787
climb,0.20995496430256239
godswood,0.20918130963412132
walders,0.20745368693853378
squirrel,0.2070270551574569
thow,0.20658094516300557
cripple,0.20561213902112643
sentinel,0.2029202711491096
hali,0.20023893088330358
root,0.19944921684294234
elk,0.19534815128090144
mists,0.19449579092515101
rickons,0.19348388845786973
roof,0.19338177940756143
greywater,0.19325365470441849
uncertainly,0.1886345821182881
greenseer,0.18564652065911336
barely,0.18562924239523163
greenseers,0.18497340475707877
male,0.18339511196691427
snarling,0.18313268103449085
squirrels,0.18309212358101257
crannogmen,0.18301115760527698
following,0.18167218304118035
deserter,0.1812492920838927
loping,0.17957297061625954
cley,0.17894910416658177
tearful,0.17804721698829853
female,0.17764324929998393
groping,0.17736668298394742
instant,0.17659039665284598
woods,0.17640434483421485
sniffing,0.17517478797340824
pecked,0.17461730925113905
humming,0.17390142653186383
shaggy,0.17346327544795942
flying,0.17266472658501952
rushed,0.17220667442918799
turret,0.17196250415696263
ravens,0.17012116273101283
gargoyle,0.16874496610408743
tines,0.16808691993340652
forest,0.16668852132112075
faster,0.1665111459673424
ghouls,0.16598480433134466
giants,0.16518677961096237
crannogs,0.16473279354433312
kinds,0.16451618485603989
cerwyn,0.16444917787539109
mollen,0.16322372972142307
staring,0.16223193851676199
straps,0.16178413120378426
