feature,weight
hodor,1.4550190379973114
bran,1.4491180092791418
meera,0.9787098886773804
jojen,0.93230684128228225
brans,0.93097274607904168
luwin,0.85602241977580396
osha,0.78454077673487177
nan,0.67958953077116657
crow,0.60779082788470484
summer,0.57027527150711976
hodors,0.52179289141899066
reed,0.48495426344411713
shaggydog,0.47859301503958174
rickon,0.43033672554585783
pony,0.41400133047156717
basket,0.37438551531614772
direwolves,0.35627596326724414
fly,0.35556502846674837
jory,0.3180031984294443
frog,0.30879691428935735
