feature,weight
tully,-0.14279878456872247
tyrion,-0.1434898804842627
squire,-0.14486345885832935
helm,-0.14539409850494239
edmure,-0.14599680433075063
needed,-0.15079654696078831
pyp,-0.15152480120771758
jaime,-0.1519691861808152
camp,-0.15269271116935268
needle,-0.15482568213164036
ygritte,-0.15930561943209154
jeyne,-0.1610907263220295
rangers,-0.16269677155062123
gendry,-0.17627939227594688
grenn,-0.17962846107216837
sansa,-0.19385383513830642
mormont,-0.19456680848080876
catelyn,-0.27860736688371118
arya,-0.29313615767033052
ned,-0.2935966725392265
