feature,weight
brienne,0.96007681612318785
hyle,0.79272544892791763
podrick,0.62438947339697148
meribald,0.60874437651057489
oathkeeper,0.4928804546466185
maidenpool,0.48328109861400503
briennes,0.46088729922390859
nimble,0.40165849341168613
mlady,0.40135435302716904
dick,0.39063939796798491
crabb,0.38494937729128975
tarth,0.38102397908814944
duskendale,0.3707062236675388
saltpans,0.35246153605610353
tarlys,0.31526027891175945
inn,0.31407872197954545
clarence,0.30515078292460246
creighton,0.29775153305308044
shadrich,0.29120871142147819
outlaws,0.2901492411552663
crackclaw,0.28660451356814309
shagwell,0.2786087254606241
illifer,0.27445228153239148
randyll,0.27106715453096736
innkeep,0.2636903917951855
timeon,0.26162768888212323
maid,0.26017897424592606
renly,0.2569652050233589
goodwin,0.25499141840796552
septon,0.24474244936712602
hunt,0.24368523155110222
town,0.23719887176095572
auburn,0.23612587469934179
willow,0.2358306980752502
roads,0.23447204069588978
heddle,0.23101366290506076
road,0.22237231398239182
hanged,0.2187449117986543
pyg,0.21787288498159735
stoneheart,0.21297464953799783
dontos,0.21158810225828861
inns,0.21015258311869287
payne,0.20984173877342766
podricks,0.20703744242044364
rounsey,0.20484015422770407
longbough,0.20337843675442849
tother,0.20279909698939066
penniless,0.20241289611838079
quest,0.20185696375691176
crabbs,0.20001618393193482
holy,0.19985037392717075
seek,0.19976106874418453
woods,0.19826142990512907
travelers,0.19811963324247917
hollard,0.19796529630261755
whilst,0.19547958359569989
tis,0.1946809356605021
galladon,0.19248781343718932
crossroads,0.19152110540583678
renlys,0.1913025363905296
sansa,0.18937443793371747
mare,0.1872670690568404
highborn,0.18381661481245312
chainmail,0.18222190907659866
smith,0.18114272732434697
puh,0.18095350563972731
biters,0.18075887103062449
ronnet,0.17983782878156868
watered,0.17948665751012186
crab,0.17942070908076013
aye,0.17905928215885392
donkey,0.17665837840629683
brella,0.1764913791808112
stinking,0.17376454240591094
mile,0.17265738755068669
hibald,0.17192098330802902
arianne,0.17190686522475665
narbert,0.17147187816805332
freakish,0.17053427349761915
tarly,0.17001603825734826
farm,0.16965648002495981
whispers,0.16937708928574807
weeds,0.16899888423490281
bogs,0.16876776610571689
piebald,0.1683163559153027
elder,0.16813782734093125
isle,0.16717744733074325
goose,0.16682649944902228
jaime,0.16546268925201293
sparrows,0.16345865605063703
biter,0.16197701666724496
seeking,0.16003068889195959
clump,0.15807765876559363
darklyns,0.15688322504777885
quarterstaff,0.15663254760849696
dun,0.15660269272137423
freak,0.15610517110859323
mootons,0.15481034908150892
gillam,0.15375956097892277
swordswench,0.15225037155160531
drey,0.15145373221423131
dog,0.15082995907170074
stable,0.15055558653578316
driftwood,0.15005903144932306
masha,0.14965684982615984
mooton,0.14892924409588559
passage,0.14860656881991069
bedroll,0.14820650831047039
badges,0.14799503277075532
lightning,0.14640372488729947
pigs,0.14630210776337255
hedge,0.14621621560306433
barked,0.14593515183911673
resumed,0.14555428406688226
raped,0.14553302183217121
chestnut,0.14522810827426455
garin,0.14431672088654143
mud,0.14378150724290115
roelle,0.1436548018590014
sylva,0.14309918921543363
mouse,0.14214379613326714
honest,0.14200131347280145
companions,0.14182627895909533
valor,0.14135627196097122
traces,0.13910626836665435
bay,0.13756642829350257
ferry,0.13733452291495363
ambrose,0.13695367494460089
younger,0.13656938212912736
strangers,0.13635657316335742
stew,0.13573990582210257
rusted,0.13567596809891624
pine,0.13466018589430812
maids,0.13462257583394174
crooked,0.13441334072939612
cave,0.1330961785032182
flour,0.13223268654470111
