feature,weight
brienne,0.96007681612318785
hyle,0.79272544892791763
podrick,0.62438947339697148
meribald,0.60874437651057489
oathkeeper,0.4928804546466185
maidenpool,0.48328109861400503
briennes,0.46088729922390859
nimble,0.40165849341168613
mlady,0.40135435302716904
dick,0.39063939796798491
crabb,0.38494937729128975
tarth,0.38102397908814944
duskendale,0.3707062236675388
saltpans,0.35246153605610353
tarlys,0.31526027891175945
inn,0.31407872197954545
clarence,0.30515078292460246
creighton,0.29775153305308044
shadrich,0.29120871142147819
outlaws,0.2901492411552663
