feature,weight
ned,-0.077355618838073834
raven,-0.079566922054277359
winter,-0.080254020450024527
bronn,-0.080859435943948843
theon,-0.081716936865102743
sail,-0.081986575944887854
sam,-0.082684702539841726
wildlings,-0.083698845213464962
commander,-0.084743380334663262
ilyn,-0.088482209793784461
bolton,-0.0892991351587855
joffrey,-0.090415840249354174
pie,-0.093651181579528828
nd,-0.094928383196824589
ll,-0.096929637461857746
bran,-0.11767612805178625
snow,-0.12580638605492536
stannis,-0.12603561998837057
cersei,-0.13050540012038928
tyrion,-0.15302913490015591
