feature,weight
qyburn,0.79211039623297275
margaery,0.62682580272866106
merryweather,0.52001245672836205
jocelyn,0.51736284458282156
osney,0.49688710677883746
tommen,0.49395838411185644
taena,0.48480849557812089
tommens,0.42417500826067811
holiness,0.41899137230780947
osmund,0.40827699898557007
cersei,0.39983153029664353
tyrell,0.384351108673467
senelle,0.3784020443562025
melara,0.37447444049942835
pycelle,0.37061841444919591
unella,0.36677930915358897
kettleblack,0.36031808436902868
falyse,0.33940903268551981
aurane,0.33933231741100434
loras,0.33287504129531309
scolera,0.33062880986184784
kevan,0.32612970450230988
dorcas,0.32592779365353031
swyft,0.32278426227221424
moelle,0.32200408884915976
orton,0.31064759938251019
trant,0.30950603859360676
margaerys,0.30032884988580871
sparrow,0.29964137125012236
dromonds,0.29935168739654933
gyles,0.29736971607468665
euron,0.29726998452547221
victarion,0.29578885708055191
sparrows,0.29559368339991177
cousins,0.29203012876447249
balman,0.27950384982778925
harys,0.25949866778174774
stokeworth,0.25858423236885963
maggy,0.25612095018135
ersei,0.25017048962972493
osfryd,0.24840652563236332
mace,0.24771145046425566
cells,0.24763403690217331
septa,0.24032604539428545
megga,0.23813101397111561
septas,0.23804529628859472
sins,0.23618295415786852
valonqar,0.2357920604440413
meryn,0.23524553083739247
ralf,0.23056035756342019
nute,0.22849582264015739
gaolers,0.22768673320439534
alla,0.22506050609574144
taenas,0.22246768736274483
rule,0.21931856062282107
redwyne,0.21853445240612962
boros,0.21760135337118558
holy,0.2175732374960381
jaime,0.21664575475326459
imprisoned,0.21617652821331323
rosby,0.2134408172532318
septon,0.21127839773378346
arianne,0.20970497393313742
nipples,0.20802243511535962
recalled,0.20775993066452692
myrcella,0.20372306313194541
trial,0.20263926741514166
puckens,0.20250009657029946
shortear,0.20250009657029946
highgarden,0.20207900549712651
serry,0.20075323384298938
blount,0.19960226560689692
limper,0.19874380394046348
weep,0.19544162656916297
humble,0.19229854284946452
queens,0.19171944859179402
waters,0.19095516972308108
grand,0.19008281344773417
leering,0.18853685182118984
elinor,0.18835592616699798
hippocras,0.18697205703483985
lannisport,0.18521543234311957
olenna,0.18451337392794159
shame,0.18193333023881103
lioness,0.18098826653809677
barber,0.1802553014592293
dorne,0.17974450035101025
rid,0.1794942570982771
hetherspoon,0.17834660437733443
rugen,0.17815134000713287
champion,0.17809106178575529
dornish,0.17665145820009523
wrinkled,0.17664339094499734
dome,0.17656493155002762
myrish,0.17656049187374806
tyrells,0.17583297780692761
regent,0.17539885445854789
mob,0.17502545986685444
wretched,0.17478698206487239
seastone,0.17474441976860314
fornications,0.17450917055695159
confess,0.17438057098891616
lancel,0.17260868831329632
treason,0.17136762160231378
sinner,0.16978038374791279
doran,0.1691092505380789
coughing,0.16873458610136188
raynard,0.16867593607561363
aeron,0.16765547565378416
cell,0.16701435521794059
bard,0.16701127009135799
kettleblacks,0.16686806239226143
dear,0.16608243047733268
fleet,0.16607315211501009
baelor,0.16544146845067093
atonement,0.16519158767513403
creatures,0.16517742160760351
theodan,0.16504504995284935
sept,0.16449901176827689
nakedness,0.16414320938338914
tallad,0.16393538960982643
whilst,0.16000210746860907
breasts,0.15973696494701303
sinned,0.15935660115078462
treasurer,0.15906407561632913
ladies,0.15829265523687375
longships,0.15743443079233513
