feature,weight
qyburn,0.79211039623297275
margaery,0.62682580272866106
merryweather,0.52001245672836205
jocelyn,0.51736284458282156
osney,0.49688710677883746
tommen,0.49395838411185644
taena,0.48480849557812089
tommens,0.42417500826067811
holiness,0.41899137230780947
osmund,0.40827699898557007
cersei,0.39983153029664353
tyrell,0.384351108673467
senelle,0.3784020443562025
melara,0.37447444049942835
pycelle,0.37061841444919591
unella,0.36677930915358897
kettleblack,0.36031808436902868
falyse,0.33940903268551981
aurane,0.33933231741100434
loras,0.33287504129531309
