feature,weight
bridge,-0.097943031004906644
edmure,-0.098189607141392979
godswood,-0.10135062945545266
tree,-0.10312498744485005
kingslayer,-0.10389411966292054
mormont,-0.10515828315499108
jorah,-0.10669099286785308
camp,-0.11088488181786831
hound,-0.11380179978405977
melisandre,-0.11397734913541237
mlord,-0.11552357346586176
bran,-0.12103656937368625
dontos,-0.12404157953135878
sansas,-0.12421638320089833
sansa,-0.13742023653932173
davos,-0.14157308838000845
dany,-0.15080930110567584
catelyn,-0.15567409024842782
arya,-0.15607453875025915
brienne,-0.16084532142967248
