feature,weight
dany,1.5581213875557194
jorah,0.69295099797163862
khal,0.68612371646894088
drogo,0.6851853582380607
khaleesi,0.66957001572146557
dothraki,0.63644647737897686
irri,0.61164651883096932
jhiqui,0.58274419273894507
viserys,0.57003219831616336
daenerys,0.54450375052078437
daario,0.51140558776053979
bloodriders,0.48010364868403987
khalasar,0.4712539972822945
jhogo,0.46835606264255153
drogon,0.4681973062564399
aggo,0.46694116541588149
hizdahr,0.45745526101104317
unsullied,0.45146455754636239
slaves,0.44260257242111684
missandei,0.40999634416345521
danys,0.39829366357085788
meereen,0.39677610560306592
drogos,0.38619558823580463
handmaids,0.38455820575027355
reznak,0.37918979227386146
yunkai,0.37830577187674325
rakharo,0.36902390937344343
illyrio,0.36588501534845685
belwas,0.36412611078833906
xaro,0.35764231608657526
dragon,0.35555421528705877
qartheen,0.35060157925419899
arristan,0.33010398595982959
usurper,0.32926291786172351
arakh,0.32744498659786336
vaes,0.31919996860343725
astapor,0.31714870339094714
mirri,0.31389135552745284
magister,0.3132173771981881
maz,0.30935340126378386
duur,0.30579104590202022
doreah,0.30061858186811163
pyat,0.29729110658619062
loraq,0.29700840282361912
palanquin,0.29259182620870672
dragons,0.29220596906438601
zo,0.28703780590568073
slave,0.28448024027983043
tokar,0.28383665041265849
qarth,0.27958268520583579
brick,0.27158577469013839
naharis,0.2713184508651858
grass,0.27068477766410209
harpy,0.26959579866886813
shavepate,0.26752249615804258
daxos,0.26523800171761752
pyramid,0.26376979729502742
stormcrows,0.26331599293907298
pree,0.25995012523383576
xhoan,0.25807040327595937
freedmen,0.25113142219521184
pentos,0.25057898683642987
bricks,0.24799857137736236
maegi,0.24510605138374517
warlocks,0.24399943948872832
dothrak,0.24380386914924673
whitebeard,0.23712320226288278
rhaegal,0.23189692854741162
arstan,0.23000946753484963
copper,0.22809052568935936
viserion,0.22713271195913082
braid,0.22317705787552547
lamb,0.21947598131432608
vest,0.21680418167810872
illyrios,0.21536393608491319
astapori,0.21494809015914806
skahaz,0.21468117483562604
usurpers,0.2105199981265013
undying,0.20664016654060191
mormont,0.20471405854301675
ghis,0.20382149460503798
khas,0.20381417960216158
pyramids,0.20325535968720926
quaithe,0.20314714400762007
stapor,0.20194455708955789
yunkish,0.20107688543878999
dust,0.20091478077316482
radiance,0.20085829893851098
crones,0.20028680164312043
khals,0.19961903504997361
mo,0.19923850086403824
stormborn,0.19910017405607641
pits,0.19672656981658707
womb,0.19670547979631237
worship,0.19620987892428854
stapori,0.19577195904884745
whip,0.19297686486142082
bells,0.19248325804657787
magisters,0.19227073994148403
palace,0.192162683415151
molten,0.19123333575298926
scribe,0.19041925182700756
ghiscari,0.18364016586296109
bronze,0.18347204870343353
masters,0.18271389703065979
stallion,0.18137217265723884
handmaid,0.18133514434978149
rown,0.1803113400984484
princess,0.17813695440089833
galare,0.17780492969124312
sandals,0.17615253916385401
terrace,0.17590220696310935
magnificence,0.17454799302785429
dosh,0.17452935498740185
khaleen,0.17452935498740185
westeros,0.17298678682868018
galazza,0.17195325207880113
worm,0.17114173635454094
sandsilk,0.17070086441815224
sellswords,0.16954847632660869
companies,0.16901995196405403
cities,0.16800611270844656
seneschal,0.16680045453679099
slavers,0.16589002849139772
pearls,0.16422091379438081
cohollo,0.1641709527106332
eunuchs,0.16402130907464532
windblown,0.16328417636875808
qotho,0.16248458601634422
pit,0.16178952908204197
meereenese,0.16119441207391155
caravan,0.15937275070423262
ancient,0.15848785436586643
rianne,0.15827247410109485
sell,0.15804937157170421
flux,0.15804152456016585
cool,0.15721289591433349
skahazadhan,0.15684907980379553
plumm,0.15658737344771004
merchant,0.15554728850383281
exile,0.15374648915931846
silk,0.15352453022605783
lilac,0.15348679048731995
hairless,0.1530791807185006
jorahs,0.15306746153518622
barristan,0.15282445517002505
rhaego,0.15264868588678518
alon,0.15263283353417653
cushions,0.15112318996726548
mounts,0.15002668849020187
quentyn,0.1493817897831996
quaro,0.14728674080593332
stars,0.14579246215298372
graces,0.1456343256668528
figs,0.14560298560527737
targaryen,0.14401344994690102
eggs,0.143946856706124
ebony,0.14359554499601432
en,0.14352709694863114
wings,0.14240779730683076
arakhs,0.14167846473635673
indigo,0.14151194893426799
haggo,0.14031065864539938
unfolded,0.13962619440693608
persimmon,0.1393138799966849
willem,0.13913693119027323
breasts,0.13857338546504197
crumbling,0.13822319561040394
bazaar,0.13802134046828529
cleon,0.13757060484016331
eunuch,0.13618154718274031
scales,0.136082496533282
rich,0.13566576721706103
warlock,0.13402639321686424
bowed,0.13373394353802881
legions,0.13270262211027833
westerosi,0.13239278146998093
sand,0.13171768281924914
