feature,weight
dany,1.5581213875557194
jorah,0.69295099797163862
khal,0.68612371646894088
drogo,0.6851853582380607
khaleesi,0.66957001572146557
dothraki,0.63644647737897686
irri,0.61164651883096932
jhiqui,0.58274419273894507
viserys,0.57003219831616336
daenerys,0.54450375052078437
daario,0.51140558776053979
bloodriders,0.48010364868403987
khalasar,0.4712539972822945
jhogo,0.46835606264255153
drogon,0.4681973062564399
aggo,0.46694116541588149
hizdahr,0.45745526101104317
unsullied,0.45146455754636239
slaves,0.44260257242111684
missandei,0.40999634416345521
