feature,weight
hound,-0.11507078580925163
ale,-0.1164578481052827
joffrey,-0.11823624825348297
crow,-0.12165026999323485
melisandre,-0.12307066403150348
eddard,-0.12465203197131439
penny,-0.12678124832882126
davos,-0.14239252857930315
dwarf,-0.14433481443896282
renly,-0.14734834940949207
catelyn,-0.14971197520288221
arya,-0.1500778349900464
sansa,-0.158719718262013
cersei,-0.16116032201357397
ned,-0.16918777537319218
stannis,-0.18291006622012268
snow,-0.18920457416580291
jaime,-0.20228831487486307
bran,-0.20906576559529322
tyrion,-0.30789198234696707
