feature,weight
davos,1.691276676833029
salladhor,0.71498382730133059
seaworth,0.69445275635180193
smuggler,0.69216631099289128
saan,0.61368546472242536
onion,0.60611486776805645
devan,0.56344716592730182
melisandre,0.47856819416601959
wyman,0.44684467429092278
salla,0.44329072380960072
axell,0.43288953713757494
florent,0.42098028857380049
marya,0.41790237208685826
alester,0.40562380751937344
betha,0.40506672769347984
stannis,0.40055116452254014
pylos,0.39833831849575141
edric,0.39784213272477642
dragonstone,0.35224855123361659
smugglers,0.33902526058149973
rhllor,0.32558436559782283
melisandres,0.32075947354402495
luck,0.31692442826555983
den,0.30871919610161508
sail,0.30519483756935806
storms,0.29974731687715211
selyse,0.29972086830250233
lyseni,0.29894795587836687
smuggling,0.29660825132981761
harbor,0.29334870651681538
shortened,0.28726837891324186
wraith,0.27073524307420765
pirate,0.26647853697031776
allard,0.2663196416802614
sisterton,0.25425067667441481
fingerbones,0.25298097773172368
saans,0.25234835396529215
ourt,0.25134679639782281
manderly,0.25090069439969054
blackwater,0.24865453344050698
cressen,0.24752036269693506
matthos,0.24162587133999802
merman,0.24084824124495319
dale,0.23742356608955317
lysene,0.22685080785064052
godric,0.22647072482202296
fiery,0.22636458903921219
shireen,0.22633600037720936
wylla,0.22372483217367284
theomore,0.21902515643846387
sunglass,0.21682348139298233
imry,0.21542287405112565
lamprey,0.21154116661774366
storm,0.20963628662142364
leona,0.20924821062837981
ship,0.20917190221845269
ships,0.20601344869942215
oars,0.20450750539579146
god,0.20406581532139931
drum,0.19701531895965652
flames,0.19692849217870767
fishfoot,0.1948452448508167
velaryon,0.18979516564852247
maric,0.18931836322244219
jared,0.18899070198551052
celtigar,0.18782187518765109
crabs,0.18743279747083033
treason,0.18662346342358616
olton,0.18636553885139395
onions,0.18555995003597051
bay,0.18505976354842782
declare,0.18406316686956303
fleet,0.18298158629478439
galleys,0.17987350717500242
marlon,0.17860202109955797
firth,0.17768607701218594
lightbringer,0.17745212757660608
steffon,0.17602744830849559
freys,0.17408884694183582
wylis,0.17263423419654134
merling,0.16999535588971787
sails,0.16947163109486535
aratheon,0.16938533164084668
baratheon,0.16887504092306177
bartimus,0.16546034390731373
loyalty,0.16536650221822249
andrew,0.16293015964671748
ahai,0.16093214383096299
azor,0.16093214383096299
rowed,0.15691883205149129
astle,0.15602882693424791
tide,0.15589783227616849
midwife,0.15540734373341344
letters,0.15488044336323498
lu,0.15465461804827829
therry,0.15465461804827829
painted,0.15246515864410501
cobblecat,0.1517511562868093
roro,0.1517511562868093
lionstar,0.14769980711398928
manderlys,0.14738163394673173
wildfire,0.14551413456175699
estermont,0.1438725002466176
wendel,0.14324163003415863
fury,0.14263594765003867
pouch,0.14206754688795986
swordfish,0.14204222897496316
artimus,0.14142947843717937
swept,0.13986454057008377
penrose,0.13890866080818437
