feature,weight
davos,1.691276676833029
salladhor,0.71498382730133059
seaworth,0.69445275635180193
smuggler,0.69216631099289128
saan,0.61368546472242536
onion,0.60611486776805645
devan,0.56344716592730182
melisandre,0.47856819416601959
wyman,0.44684467429092278
salla,0.44329072380960072
axell,0.43288953713757494
florent,0.42098028857380049
marya,0.41790237208685826
alester,0.40562380751937344
betha,0.40506672769347984
stannis,0.40055116452254014
pylos,0.39833831849575141
edric,0.39784213272477642
dragonstone,0.35224855123361659
smugglers,0.33902526058149973
