feature,weight
kissed,-0.099558975123825957
harrenhal,-0.099900569233585979
pain,-0.10074558778172127
saddle,-0.10140103196980411
shes,-0.10181394382463187
edmure,-0.10304661719355318
crow,-0.10689352244986841
kiss,-0.10766508578472025
sam,-0.10799538665099383
varys,-0.10849397895396845
song,-0.11315605474983587
shed,-0.1139848426743917
dany,-0.11538528506383229
arya,-0.13147770631158825
bran,-0.15357073209123936
cersei,-0.15359919374145495
sansa,-0.16342991711273452
jaime,-0.16749507875798064
catelyn,-0.18836180004284392
tyrion,-0.22574700953838236
