feature,weight
ned,1.5570304014139775
neds,0.99507349426499225
littlefinger,0.80431502507090047
jory,0.65551799817515433
pycelle,0.63228594623121359
lyanna,0.57187485238748692
varys,0.56207907655852718
roberts,0.55662359155179031
eddard,0.55543050390757998
barristan,0.52076381243913772
damn,0.51263493537444649
arryn,0.48309133679274768
grand,0.46372485826321896
renly,0.41564904617503234
alyn,0.38597577210258743
tomard,0.38442399934777971
council,0.3633212472404494
baelish,0.3607739113522021
targaryen,0.35872707771114232
vayon,0.35074817418037502
poole,0.33081378705240472
raymun,0.31857618143628563
damnable,0.31407607033147061
baratheon,0.29172784977202548
realm,0.29106873550361023
jorys,0.27188930693515462
quietly,0.27081710866475384
aerys,0.26843680507991197
leg,0.26810482321830587
comprehend,0.2658055853924331
lyannas,0.2616442190721241
barra,0.2610359817911434
cersei,0.26101968894591371
lannisters,0.25692078081807457
scarcely,0.25651406178856939
paper,0.25066736456027394
throne,0.24802732974716499
rhaegars,0.24157962167414038
petyr,0.24140784963896855
rhaegar,0.23860048573876202
catelyn,0.23644728022539538
promise,0.23435026316372637
littlefingers,0.23421931859321032
cassel,0.23413723302074213
eunuch,0.23293060529723386
brothel,0.23257498315141481
crypt,0.23244299948299052
kingsguard,0.2307649267641125
steward,0.23046767428124412
bowed,0.2222029912587922
dragonspawn,0.22121066084543217
office,0.219750229899664
helm,0.217104675022188
tourney,0.21356397251593262
sandor,0.21267157736628323
sherrer,0.21004769668476111
damned,0.20996815063413127
cayn,0.20995255833943685
flatterers,0.20905656636464487
haste,0.20765496548039927
malleon,0.20700518526696424
justice,0.20279516411771389
tome,0.19946624084304676
heartsick,0.19921750540002189
arryns,0.1987437240981855
cape,0.19858317030899805
melee,0.1982554492463644
ah,0.19798167878751971
selmy,0.19611986123980765
hells,0.19559715280687451
jaime,0.19264784005079535
porther,0.19202651834370785
wardens,0.19069259675541411
tedious,0.18991757253931388
trident,0.18980789322035924
hugh,0.1889927605388976
swear,0.18527424690619351
grumbled,0.1845170830148492
badge,0.18364262111044583
final,0.18345791084289381
tregar,0.18021936009747322
joss,0.1792507213293707
darry,0.17776773470771395
costly,0.1776453315864629
chokes,0.17675571635197454
storms,0.17669489182383935
murder,0.17628017906139123
hunting,0.17492358932898427
eunuchs,0.17412390837111674
wendish,0.17314836783704396
party,0.17147999273309186
seat,0.17055913843810175
business,0.16975310811270444
protector,0.16936861785531382
searches,0.16901943178471909
lineages,0.16901575278969752
poppy,0.16898400891475918
hunt,0.16837468106882786
throbbing,0.16681505241939171
thrones,0.16602243701978853
roses,0.1655159996596629
peace,0.16467531100341165
fortune,0.1634274066133658
powdered,0.1611432904581343
unspeakable,0.16061370527306043
doublet,0.16038725499087292
apprehensive,0.16021267585963578
melancholy,0.15942257271412741
version,0.15937844555192801
petals,0.1582984126233396
plaster,0.15805861585832054
darrys,0.15766521866630695
wyl,0.15755494095621
tobho,0.15684744981233872
groaned,0.15682771275692159
potboy,0.15656640197806904
tapestries,0.15448276230104263
concern,0.15439766043673928
antlered,0.15399476794428058
rides,0.15355038306525798
clegane,0.1530394200834555
fealty,0.15259959257435229
