feature,weight
ned,1.5570304014139775
neds,0.99507349426499225
littlefinger,0.80431502507090047
jory,0.65551799817515433
pycelle,0.63228594623121359
lyanna,0.57187485238748692
varys,0.56207907655852718
roberts,0.55662359155179031
eddard,0.55543050390757998
barristan,0.52076381243913772
damn,0.51263493537444649
arryn,0.48309133679274768
grand,0.46372485826321896
renly,0.41564904617503234
alyn,0.38597577210258743
tomard,0.38442399934777971
council,0.3633212472404494
baelish,0.3607739113522021
targaryen,0.35872707771114232
vayon,0.35074817418037502
