feature,weight
osmund,-0.12429097055940759
margaery,-0.12493182170521946
brynden,-0.12531976263723879
flames,-0.12682727415044837
dontos,-0.12745038837079065
brave,-0.12883740171885502
dwarf,-0.133472258120343
jeyne,-0.14060279557630287
sept,-0.14134971663995491
tyrions,-0.14287657416206542
shae,-0.14971264537337975
harrenhal,-0.15517598370703781
shed,-0.15727184022339086
tommen,-0.16678299423183626
dany,-0.16863258011637411
frey,-0.17445844028242014
brienne,-0.18993310998706528
bronn,-0.21370166505422714
uncle,-0.24063266950165524
tyrion,-0.24585881369906365
