feature,weight
jaime,1.0615352660425965
brienne,1.0527071682915623
jaimes,0.81821702126656293
wench,0.78312869131331464
coz,0.58481392235472784
cleos,0.57551948342868642
stump,0.54541855432698416
tarth,0.5417812022693691
aerys,0.49249267393418295
darry,0.46526381011594409
vargo,0.44025858452876848
emmon,0.44022926305443955
hoat,0.43768300097847279
kingslayer,0.42027522719233529
peck,0.40468584301668592
frey,0.40203982033294372
qyburn,0.39457038862283933
strongboar,0.38305697264441085
steelshanks,0.38042894820308837
pia,0.37670983951396581
bier,0.36130213966635605
cersei,0.35060570425708582
maidenpool,0.3500944975670468
osmund,0.3486864121168945
kingsguard,0.34452496080266815
outlaws,0.33688296540950169
addam,0.33276905630049197
riverrun,0.33081575607498181
lancel,0.32860170920409199
tully,0.32601870919477671
tommen,0.32327651275925406
daven,0.32240260486171451
marbrand,0.31187384766203186
cousin,0.30946501466686582
kettleblack,0.30693260194222249
skiff,0.30627412094130191
phantom,0.30498443689496302
genna,0.30329786574234635
kennos,0.30310692145882728
shes,0.29623419406211532
tommens,0.28560879489015112
ryman,0.28478293953388856
arthur,0.28047121377379958
teats,0.28015439800249209
crakehall,0.27570661545526925
briennes,0.27381710934818515
racken,0.27367465918436601
casterly,0.26868559088585953
walton,0.26781266628771461
tytos,0.26767257821168788
loras,0.26627834076226647
fucking,0.26214039098135133
bolton,0.25978238503968681
zollo,0.2592292611204815
edwyn,0.2586258068772479
stroke,0.25451526512441269
raventree,0.25355335678402663
blackfish,0.25291930881046032
cripple,0.2527182999054805
kevan,0.25103179493587169
pays,0.24879862297514349
jonos,0.24594916851822377
ilyn,0.24456998504674765
lackwood,0.24309592426759966
longwaters,0.24292645001849503
gag,0.24152390441636029
sworn,0.24107540135226613
rossart,0.24078242436916331
debts,0.23880424459104671
wenchs,0.231957548094813
harrenhal,0.23164319935693053
goat,0.23108948924242442
sumner,0.22756784184835677
cerseis,0.22695370341004856
archers,0.22612757344554676
dondarrion,0.22515435588338972
dermot,0.22427937825709021
edmure,0.22427387005084315
swore,0.22247474215616758
oath,0.22050155970266605
westerling,0.21861129819532563
breeches,0.21597197186619294
gelding,0.21559085954541915
suggested,0.21504725217671114
book,0.21235082003622652
column,0.21196012237888442
innkeep,0.21080018171530424
lancels,0.21012871099118477
trotted,0.2099655357801169
dayne,0.20969849944120708
ashes,0.20836937338303083
recall,0.20661574473939986
prester,0.20520362386683444
bracken,0.20434639299489335
wheatfield,0.20418699573594468
piper,0.20277995044563224
lewyn,0.20261760835210896
vance,0.20250840116298535
aunt,0.20207797419740409
gallows,0.20152199055586323
duskendale,0.20089068643649755
connington,0.19816784405190313
starks,0.19792737104564229
brotherhood,0.19692337849584374
whents,0.19685089068035364
bowmen,0.19651924477710397
hiding,0.1951905471153719
pool,0.19407671612653538
forley,0.19331978570241803
aenys,0.19252535923854297
suited,0.19234630590546553
tarbeck,0.19177577143103228
feeble,0.19130165049398945
targaryens,0.19109858897057791
lyle,0.1910779056051532
amerei,0.19043533211726826
amused,0.18886909841037075
nage,0.18829357724326604
boltons,0.18825695945886106
companions,0.18561696083340418
rymans,0.18472633915362596
hoster,0.18317137690283153
kingthlayer,0.18304216091648073
bettley,0.18196723341514587
northman,0.17906766435019869
range,0.17895749029159827
enjoys,0.17807417736938586
faith,0.17777417841718085
blackened,0.1766307562792655
hildy,0.17656893795108697
fields,0.17496448763449052
absurd,0.1744095411220199
qyburns,0.17401646228733358
cow,0.17384323498932625
page,0.17332496881907761
history,0.17221439773023278
commander,0.17011363332021218
hightower,0.16972831425029145
freys,0.16857955255434873
royal,0.16823169930484572
vow,0.1676759151281029
suspicious,0.1676065278580619
undergaoler,0.1666333530812025
swann,0.16657965689318599
mariya,0.16647704786094597
tunic,0.16573947263976507
kingswood,0.16382772157913938
toyne,0.16347722796570979
walder,0.16341935206601016
rotting,0.16327586953559678
palfrey,0.16316319980107472
rynden,0.16304254583623712
gates,0.16222149353358076
trout,0.1619468130529228
herrock,0.16175691596481195
plow,0.16158565936885944
arba,0.16146981653553616
lackwoods,0.16146981653553616
castamere,0.16114936992582798
delivered,0.16111165140798978
hoats,0.16108661591016155
remark,0.16068716174721642
homes,0.16004074963365761
beardless,0.15931678805625676
kayce,0.15924669247334688
soiled,0.15913246317810453
companion,0.1575306934652842
lands,0.15742834084084043
slew,0.15723824249005219
aback,0.15659124553899145
