feature,weight
jaime,1.0615352660425965
brienne,1.0527071682915623
jaimes,0.81821702126656293
wench,0.78312869131331464
coz,0.58481392235472784
cleos,0.57551948342868642
stump,0.54541855432698416
tarth,0.5417812022693691
aerys,0.49249267393418295
darry,0.46526381011594409
vargo,0.44025858452876848
emmon,0.44022926305443955
hoat,0.43768300097847279
kingslayer,0.42027522719233529
peck,0.40468584301668592
frey,0.40203982033294372
qyburn,0.39457038862283933
strongboar,0.38305697264441085
steelshanks,0.38042894820308837
pia,0.37670983951396581
