feature,weight
neds,-0.13870187025432718
damn,-0.14171380565926234
ned,-0.14374931315101813
mormont,-0.1438871540884509
podrick,-0.14971841727724783
admitted,-0.14990972055781032
eyrie,-0.15205623589666656
davos,-0.15550313365840829
theon,-0.1606106398183805
sansa,-0.17490476487911277
dog,-0.1762761935755999
dontos,-0.1768790846391326
sansas,-0.18319778836774922
shae,-0.19621059889486794
gendry,-0.19718058759974894
bran,-0.1985756201731973
dwarf,-0.19947087464803009
arryn,-0.19983431917452674
bronn,-0.20362523520235346
arya,-0.20830128032254158
