feature,weight
ghost,1.1651305205601152
rangers,0.90616993359067333
wildlings,0.88453436505784166
jons,0.84998715580695727
ygritte,0.84652203877939702
snow,0.83050477530083622
mance,0.77768272084223045
benjen,0.7253154178073965
longclaw,0.65442938167113318
magnar,0.60775030634995397
wildling,0.58790398325704585
noye,0.58338618086592098
sam,0.56021319700280237
grenn,0.55926482319802651
mormont,0.55674137626386633
halfhand,0.54321488707600762
marsh,0.53101356780170716
edd,0.52487243545086559
qhorin,0.51699658407148219
pyp,0.51547992279150945
ranger,0.51237564430260263
tormund,0.51181560390070713
rayder,0.50045680329562914
raven,0.48308471716514212
donal,0.48234682875410972
folk,0.47739035266745167
val,0.47660453628536614
ice,0.46722538583553952
rattleshirt,0.46369663564034747
corn,0.46196956691188606
toad,0.45323090765647356
alliser,0.44941260609008221
thorne,0.44815655779413055
dolorous,0.42844957319865207
dywen,0.42626139452605216
bowen,0.41390127286592976
aemon,0.41371074038005679
owen,0.40166623764082005
samwell,0.4007564207235651
armory,0.39735246589362466
halder,0.39651067254536687
jaremy,0.39411084709543792
therms,0.38672211958421354
horn,0.38178603747168782
stonesnake,0.38110565730191559
jarl,0.37343895714559155
mully,0.37127704002021289
cage,0.36790368357165226
uncle,0.36736158493949356
commanders,0.3633118295381163
garron,0.35808882768255629
styr,0.35673320202899528
commander,0.35503308948239892
stewards,0.35235163583151113
wun,0.34692710201050098
direwolf,0.34451188320176718
bye,0.34043226948996086
mole,0.33288749877102736
garrons,0.32370478327199143
emmett,0.32354802904487584
frostfangs,0.32303646772971395
tarly,0.32217494481350767
mormonts,0.32145277268412786
bird,0.32100679330078896
hobb,0.31877440960275871
eastwatch,0.31822910864891696
giantsbane,0.3151644094365042
melisandre,0.31421229116026766
ranging,0.31254700162686039
ben,0.31245434538612288
moles,0.31023343549667876
clydas,0.30511035066164283
satin,0.30169887704123449
builders,0.29980758697082988
southron,0.29822285103888241
ommander,0.29598402855016442
lydas,0.29062604379154205
raiders,0.289821749907686
ebben,0.28631944293856737
hardhome,0.2843363190746433
giants,0.27328144363408718
thoren,0.26811843785687528
dalla,0.26392333150230018
godry,0.26297977157410962
bael,0.26213837323631595
nuzzled,0.25947008138656669
othor,0.25733279358177674
milkwater,0.25579051192210372
spearwives,0.25207004112669451
chett,0.25200640250249101
padded,0.25170137906394036
ledge,0.25120939215453286
greyguard,0.25105115172757425
grigg,0.25044344325876783
smallwood,0.24845942040444777
massey,0.2431984042803495
flexed,0.24253246815840288
yarwyck,0.24196799585238024
skirling,0.24190931043198557
messed,0.2389265010034464
emon,0.23543834298361349
xell,0.23448914735992094
town,0.23384766363714662
fur,0.23159891307723804
bench,0.2304993314363854
icy,0.22771846651514516
therm,0.22749724033629057
climbers,0.22749050687442329
astle,0.22679893980320109
liking,0.22628948436333954
melting,0.22590828210540267
frozen,0.2244787189792842
har,0.22254114839144309
saddled,0.22227987076076458
bones,0.2218038855335788
steward,0.21650166189825995
therns,0.21639528646215608
horpe,0.21586788827811573
stakes,0.21552134472513379
wending,0.21524827245486558
arnolf,0.21393905986788159
leathers,0.21373090554686353
ruffled,0.20973863691172412
cotter,0.20808092203016018
hardin,0.20675777451107585
standing,0.2054010088469371
bears,0.20464703705432813
wisp,0.2045897301544316
jarman,0.20331573166558614
vows,0.20321612999632149
daeren,0.20242965311878408
rags,0.20204419647979005
flat,0.20098448374845113
heights,0.20030144340321088
cracks,0.2001049721034977
cave,0.19980246929695161
allisers,0.19942274093249462
karhold,0.19907981043788162
snows,0.19806486493329684
othell,0.19757396876120567
ll,0.19725843589272393
giant,0.19565823611516195
hack,0.19560469045027756
justin,0.19422372384925798
don,0.19324421633764968
rast,0.19179414097059069
scattered,0.1916553445541378
yard,0.19140323094088302
warhorn,0.19076260252503188
dalbridge,0.18945426002859853
pointy,0.18891849892212501
shave,0.18866019859000244
shadowcat,0.18736144089393128
malegorn,0.18703137232613612
feeding,0.18645824272387823
emptying,0.18625767972019017
chicken,0.18568558386195186
warmth,0.18506043512558099
beef,0.18469465451632761
joramun,0.18407628939528495
redbeard,0.18404940219583166
bone,0.18386297780143379
warn,0.18365041988213446
carefully,0.18197236819783741
mammoths,0.18084322726866517
crashing,0.18080380123393802
peeled,0.18066008342106593
rykker,0.1800534353934769
stables,0.17995456013575045
ready,0.17912464321267507
qhorins,0.17866268553336603
tollett,0.17848355183564246
rnolf,0.17808742359922725
banker,0.17793137092829112
fist,0.17791083429684829
rory,0.17739540105580043
toregg,0.17680060145653859
desertion,0.17649471416397067
ygrittes,0.17634236595927449
patrols,0.1749663385640437
kegs,0.17454949949952905
gestured,0.17412485988519097
pass,0.17390461850504127
emotionless,0.17384448375785166
harnessed,0.17384448375785166
package,0.17384448375785166
whap,0.17384448375785166
jarls,0.1737990078137045
stung,0.17285327408112874
defiant,0.17272057454762499
frail,0.17216113948323106
otter,0.17210974766642809
fangs,0.17200493402878025
paired,0.17191054884360643
haunted,0.17188930342121281
turncloak,0.17142148996532966
thenns,0.17080210077759878
forester,0.17047121305034121
folded,0.17038801219795841
watcher,0.17010097867965418
summerwine,0.16914024852103185
beacon,0.16823616052698476
tycho,0.1682206306989362
suggs,0.1678674232580446
karstark,0.16748594168923023
grinning,0.16682650656087444
cliff,0.16675121466810955
acceptance,0.16605936920563366
wick,0.16565818817930192
barrels,0.16517773357644372
giving,0.16501516610649364
albett,0.16431506220888822
errok,0.1640560961469624
giantslayer,0.16360182035266049
special,0.16356538988036234
shyly,0.16331959098034837
selyse,0.16266884945615237
cell,0.16255843213662935
idiot,0.16221780046185524
jafer,0.16151007206449508
officers,0.16149376585412556
brutes,0.16094640409026428
narbert,0.15965481291881356
balance,0.15923718781462676
sigorn,0.15844396486152307
disappointment,0.1582784732826501
mulled,0.15822651229755119
careful,0.15796122265401549
cellador,0.15785213162852063
thenn,0.1575734946441123
cared,0.15756083865226017
abandoned,0.15751910466628319
excited,0.15682892683641853
axes,0.15617975993786645
pynto,0.15533225681400648
skinchanger,0.15528269950209567
opening,0.15504244275688056
edges,0.15454325469485769
mountain,0.15357026349575148
helping,0.15295058407887369
mixture,0.15294692008119448
flapped,0.15277926967719641
buckwell,0.15203868719856303
fixed,0.15198124074331298
paths,0.15049623379331722
gets,0.15043240105534833
reciting,0.15041356087237101
winch,0.15013955881963464
leaf,0.14989731242713661
seeing,0.14965120562320142
afternoon,0.14961542288673835
absolution,0.14767763805335707
forest,0.14760792301807701
climb,0.14735627954852257
richard,0.1468995045926525
direwolfs,0.14614667515191385
wants,0.1460197553569195
patrek,0.14584718374041256
packed,0.14563893065887315
whistled,0.14554518626210472
mistress,0.14541880744303767
crow,0.14523752897500611
skinny,0.14485427357384353
attack,0.14456662991286387
gerrick,0.1445531605906793
training,0.14443881280325488
clumsy,0.14429714435057245
pots,0.1442054594323198
whittlestick,0.14417459305340205
lead,0.14409806169565942
crunched,0.1437857373041995
deserter,0.14348099578478701
skull,0.14328197034775514
nestoris,0.1430103294860644
flapping,0.14289081229580136
endrew,0.14249362501192778
drinking,0.14238258580944407
downward,0.14222903931670755
rolling,0.14221747979990643
hornfoot,0.14182503405361888
intruders,0.14129594017967281
sobs,0.1411081857617616
whickered,0.14102439824423832
jeren,0.14095243790683962
colder,0.1408363429943934
sustained,0.14074329537067881
flint,0.13985818463023439
nightfort,0.13919845360322339
solar,0.1386977173427465
longspear,0.1382802060014634
erroks,0.13787362887849755
jeweled,0.137817987137141
forts,0.13738456257315901
leg,0.13726815809925069
priestess,0.13723952485083693
eagle,0.13680835823220719
ribs,0.13654583968131578
dareon,0.13637195045153569
follard,0.13633236027946097
tunnel,0.13615208501563442
villages,0.13558771563638966
foe,0.13532414483780325
winter,0.13464240939044983
generations,0.13440021066444946
easier,0.13434930078400464
haunches,0.13413499724889186
rayders,0.13403661991911037
savage,0.13402250547995762
castles,0.13397656554458068
wanderer,0.13396847263630243
layton,0.13353504010724238
spearwife,0.13344521569432788
uproar,0.13322330274106561
scabbard,0.13284394843688024
hllor,0.13281443427803313
harma,0.1326853046924196
matthar,0.13264742837447377
dangers,0.13260682609245117
toothed,0.13228590245284966
craven,0.13203682136902803
silent,0.13165932224709515
common,0.13152616870324652
pickled,0.13113260627080925
harle,0.13110540790885142
soren,0.13110540790885142
sentry,0.13107779782057544
feathers,0.13083433870146724
oil,0.13069465165006788
duty,0.13031483956670439
ty,0.13007824325861492
olton,0.12991605377850435
bucket,0.12977020456164184
wrapped,0.1297450645053706
blocks,0.12970137995842024
boil,0.12912252804692029
egg,0.12904203697263636
looped,0.12870937409778885
curs,0.12862749817647101
bastards,0.12852285534259156
hunt,0.12833128976883768
rus,0.12821028982385968
youths,0.12806934315911145
raider,0.12802317748868575
pouty,0.12756490136829157
clan,0.1273930066392239
digging,0.12738877968981913
doubtful,0.12729045497852631
armorer,0.12713691642856653
balk,0.12700227853306476
ye,0.12687802137955084
blond,0.1267629271774886
toy,0.12638529712102037
assist,0.12633143369133523
ank,0.12614629102058109
oath,0.12598335963558877
rron,0.12572406618535881
bard,0.12552553008373465
darker,0.12549016964519694
cregan,0.12518049205026227
crows,0.12514747573521215
raavosi,0.12510322157897424
wary,0.12501754122245662
blind,0.12494428208938145
trickled,0.12462404585440097
herb,0.12455950709393365
sharpened,0.12449649701516846
stores,0.12448784487893273
bits,0.12434549509637874
orroq,0.12422713134573818
winced,0.12395042727911264
hake,0.12378018782603382
order,0.12372841578809969
pyke,0.12369663830770564
oathbreaker,0.12337371159129681
grenns,0.1231080708622842
hardins,0.12278066421209477
farewell,0.12245318709348041
goat,0.12242313154731937
hat,0.12177007788086262
shelf,0.12166615969071043
ghosts,0.12163757146763565
awe,0.12153937081771918
loped,0.12145589980041836
recognize,0.12145161916249433
emrick,0.12133757761073025
griggs,0.12125213744036684
mallador,0.1211145272650917
partner,0.12097272238162465
miss,0.12083067706220153
ottyn,0.12044458362449298
fewer,0.12037429174896114
fed,0.12027496529266335
thousands,0.12007080783586585
theyre,0.1199619334858029
maekar,0.11980267508043073
tunnels,0.11975680496547242
muss,0.11974365472521772
achievements,0.1195582141015278
befitted,0.1195582141015278
ruffle,0.1195582141015278
sculpture,0.1195582141015278
sincerely,0.1195582141015278
range,0.11945204955512341
foes,0.11937921539206581
straightened,0.119272028248427
force,0.11912147829922931
team,0.1189938165704989
weirwoods,0.11886969741998481
supple,0.11866049169394846
fires,0.11846770152520494
disentangled,0.11840162031587334
patchface,0.11830351841662259
raster,0.11825908020823389
defended,0.11811816019766824
pyps,0.11768976920983944
shrunken,0.1176000439275946
blow,0.11747330282134354
kingsroad,0.11746356215914446
slunk,0.11718244966554547
handhold,0.11714154115017796
bobbing,0.11696565866449565
ducklings,0.11688054102008905
search,0.11682284220698044
awkwardly,0.11664100088355805
base,0.11647093083471138
boiled,0.1162261339860438
showered,0.11620004210837244
drinkwater,0.11603807786578249
duties,0.11601132640008682
maps,0.11579967233532792
nd,0.11577056640109014
joins,0.11573812128907762
recruits,0.11541352058090908
nervous,0.11540671025854543
fools,0.11499789123230895
ravens,0.11498142614481921
properly,0.11487778399013333
gendels,0.11462636827778414
frosting,0.11456597936625801
baels,0.11437318780773938
thunderfist,0.11421757221871275
edge,0.11407378265682733
gloves,0.11396311637137004
warmed,0.11382113625483968
shieldbreaker,0.1138154607905939
straddled,0.1136212781900751
buried,0.11349492173639959
thern,0.11340643257995232
meals,0.1133125605291699
packing,0.11327615618167079
grin,0.11323520460449488
sorry,0.11313926592605036
teased,0.11309656643788825
bravos,0.11305852293031809
wight,0.11296540891238641
rowfood,0.11291463953752143
wouldn,0.11286405349586627
mances,0.11278139082397172
cling,0.11270886933242105
builder,0.11269011322523148
dar,0.11235930602130978
shake,0.11185155824571399
ham,0.11170597047058692
yielded,0.1115729992299867
confrontation,0.11156218534786529
peerless,0.11156218534786529
crag,0.11150598642641957
poke,0.11141998253059612
buckwells,0.11137582996056092
regan,0.1113194776528349
mutton,0.11130550238784148
grumbled,0.11129062939721039
crude,0.11114750740918264
wrenched,0.11086360317023529
mood,0.11075369179962069
teams,0.11075097805123166
yelped,0.11071310455492878
knelt,0.11058788214830655
observing,0.11058258813676415
hemp,0.11055000927473685
kneeler,0.11054911128125115
festive,0.11048583225437403
sign,0.11047546217380243
whore,0.11029844285242454
chariots,0.11022220925239526
ignoring,0.11011233606811283
vow,0.10992400021799056
muster,0.10983210761484155
fruity,0.10975991926088657
closer,0.10966062332305967
welcoming,0.10965812763643777
wythers,0.10964078208356588
rykkers,0.10950214224145194
gerris,0.10937279824303418
gleamed,0.10924679415787532
emerge,0.10924339900176272
sucking,0.1092069460699745
quivered,0.10914991923486891
dawn,0.10890788257241249
ladder,0.10877968628154228
crystalline,0.10870959033255964
havent,0.10865115432070055
vast,0.10851945049610062
pitcher,0.10839773750120163
catching,0.1082680725901326
imagine,0.10820338571386601
curiosity,0.10811499587860346
tactful,0.10806721080718987
weather,0.10802569893815953
raucous,0.1080009625630166
raavos,0.10794813127080978
baring,0.10778493948682624
graves,0.1076664366071252
pocked,0.10756081465508409
sheep,0.10754901262670583
joked,0.10749423309558115
seasoned,0.10742602670984577
weg,0.10742089887611336
whitetree,0.10741269064280534
wilderness,0.10714004130649769
drifts,0.10709207072358315
afore,0.10704173458975694
sentinels,0.10671468892418703
measuring,0.10663800053549796
lowered,0.10660503554891182
chosen,0.10653833943275151
eth,0.10636396488779391
goodheart,0.10636396488779391
faced,0.10635128495811519
confusion,0.10633419337342992
spiced,0.10631855918051275
ve,0.10631350693318239
decide,0.10622897437287582
stayed,0.10615387533055003
hazy,0.10615273413109888
glimmering,0.1061355264305627
column,0.10610838461152873
slew,0.10608465361004749
village,0.10608272555944047
wrist,0.10589663031462487
breaking,0.10587381455983419
gorge,0.10579338461780563
mauls,0.10574018325391549
shaggy,0.10562587459850384
rangings,0.10546635093088988
finishing,0.10540898765934005
blazing,0.10538786362723948
entertaining,0.10531042421015012
gap,0.10518290368213197
wielded,0.10512471577747531
unawares,0.10504915210221349
snatch,0.10502912469396315
raymun,0.10497217031048105
orell,0.10475091068354894
fried,0.10470947101723257
fetch,0.10469147020894719
leagues,0.10464178405738142
bowl,0.10452404117921481
shallow,0.10449453234508371
height,0.1044917796373506
anyones,0.10437469416555605
drunken,0.10430704590735587
noise,0.10418365307786621
aye,0.1038380423006835
heavily,0.1037642742352575
mistaking,0.10370643353216508
lack,0.10367980143952771
flared,0.10338878710314464
conquered,0.10332228588167766
quort,0.10303492711352388
moonlight,0.10277449113017888
barricade,0.10276127439455736
awkward,0.10264844305273541
size,0.10256370226226875
tons,0.10256151633070364
mors,0.10240322908586372
nearby,0.10225099939883966
learn,0.10224282309600209
oaf,0.10211556401502847
rasts,0.10205584239262827
doesnt,0.10199801815420091
stronger,0.10198554672103304
quarrelsome,0.10197720676810601
lliser,0.1018701417291201
pledge,0.10179149737695481
families,0.10177498362573198
fathered,0.10172235474278735
mammoth,0.10171302361148801
patch,0.10159311484459468
tale,0.10153396173100669
wool,0.10145790563106057
bawdy,0.10138881803511224
saddlebag,0.10138016507790755
deployed,0.10128806969442397
similar,0.10124146079960436
occasion,0.10123726323942925
scarecrow,0.10121435904243023
crutch,0.10117697762171586
waddling,0.10103437118783218
gathered,0.10099011807334105
stiff,0.10090931198780523
birds,0.10090126391339327
member,0.10088466037550686
fit,0.10065009422572997
bound,0.1005862260791788
onion,0.10051847513868678
slynt,0.10050741516114754
wormways,0.10043104703551756
clayton,0.10022858050466171
signed,0.1001012460648886
gorne,0.10002847962863921
kissed,0.099947599397317677
dick,0.099940321519422531
nipped,0.099789458400416781
froze,0.099698958938867085
sending,0.099634428676233094
waits,0.099622104560626673
ut,0.099608210099319916
offering,0.099571489105246436
seats,0.099533103174006779
motte,0.099409068802521428
settled,0.099381373496417916
chance,0.099326576112070547
craster,0.099020170561318704
cleft,0.098895325633817935
discovered,0.098855678508929318
bigger,0.098832789589828482
concealment,0.098783291715491911
keeping,0.098668937487567526
peaks,0.098556367130848727
defends,0.098442046735572025
savagely,0.098337060534934545
missed,0.098289425733474961
witch,0.098155271542672978
wetly,0.098148890020775204
sunken,0.098085350300929824
dignity,0.097918659201334843
roped,0.097770688232846542
alarm,0.097667911979526012
radiant,0.097657291378126954
horizon,0.097643766772635504
sideways,0.097638092618489672
counts,0.09762170975356152
pet,0.097534500376974587
longbow,0.097478104607713542
dannel,0.09731702684605209
loody,0.09731702684605209
portion,0.097254737182380591
onnington,0.097200561120387552
tight,0.097162264774983131
conversations,0.097075284880650356
realm,0.09703223338796875
scaled,0.096997313700513732
trusting,0.096910942779046383
silently,0.096681819095881402
flints,0.096668213083809712
journey,0.096448347919132191
enormous,0.096420117365587713
sleepers,0.096149999048399895
stonedoor,0.096086902244731154
glimpsed,0.096027519703176772
unknowing,0.09588543406999113
aurochs,0.095804768055165163
tavern,0.095770067200583939
enys,0.095757786139505682
offspring,0.095709963762752259
kingsblood,0.095678544792924244
alfyn,0.095631784878859066
switchback,0.095572409387575968
brotherhood,0.095506326755642551
chiefs,0.095463380948085513
smoke,0.095346097584714365
embraced,0.095313267456665074
fletching,0.095284628352081124
hop,0.095282553583801138
utterly,0.09525184030061469
deepwood,0.095113374547221061
talons,0.095075929881368301
homeless,0.095022450680607773
discipline,0.094941222035672013
ragman,0.094818591359638299
insipid,0.094809411176117048
wax,0.094775667393244084
weeper,0.094621031988257581
parchment,0.094477638469484343
assume,0.09436561059347745
places,0.094264391347497353
choker,0.094259906292980797
quiet,0.094206677183726259
waif,0.09414330823094319
eager,0.094105928698987082
whistling,0.094025333053040006
harghaz,0.093983120620720589
kettle,0.093908656288543238
trimmed,0.093785290537445276
fifty,0.093749815236614242
venom,0.093594537982714027
oversized,0.093573471223186586
ankle,0.093568674153685222
tonight,0.093556905965743953
mare,0.093502514372210452
tents,0.093335280798010831
patrol,0.09323414533173785
norrey,0.093140896073213741
ruby,0.093058060768824502
blast,0.093044327561111861
slide,0.093027977657864025
eagles,0.092981531676163201
kneelers,0.092949390163685114
line,0.092915511350599236
stretch,0.092908011436496671
banquet,0.092848466543873479
telling,0.092753424354560438
defenders,0.092743518615557796
oakenshield,0.092708433807784554
favored,0.092687556328798965
keeps,0.092484191703550378
horsemeat,0.092458728890498082
grim,0.092446642482923641
defenses,0.09241428758486514
poachers,0.092320049687517794
com,0.092308114369261035
loomed,0.092231210293953328
bleed,0.092079633778689288
gulp,0.092011858182859993
pentos,0.091874655899970514
worthy,0.091743330250352195
stays,0.091738083626788744
jumped,0.091673279123678189
meal,0.091563708334515839
mongrel,0.091462600529265359
creep,0.0914260002778155
