feature,weight
ghost,1.1651305205601152
rangers,0.90616993359067333
wildlings,0.88453436505784166
jons,0.84998715580695727
ygritte,0.84652203877939702
snow,0.83050477530083622
mance,0.77768272084223045
benjen,0.7253154178073965
longclaw,0.65442938167113318
magnar,0.60775030634995397
wildling,0.58790398325704585
noye,0.58338618086592098
sam,0.56021319700280237
grenn,0.55926482319802651
mormont,0.55674137626386633
halfhand,0.54321488707600762
marsh,0.53101356780170716
edd,0.52487243545086559
qhorin,0.51699658407148219
pyp,0.51547992279150945
