feature,weight
yoren,-0.18517841248849792
osha,-0.18672353742870079
lysa,-0.19069401270861394
tywin,-0.19421093947952803
gendry,-0.19423723196317608
jory,-0.19582383713817922
catelyn,-0.19730288955121411
captain,-0.20115961661263898
luwin,-0.20712081951201614
joffrey,-0.20788011427660788
tyrion,-0.20943646166777466
jaime,-0.20997430563095465
walder,-0.21126211504183043
hound,-0.22758626069400892
riverrun,-0.23244498827204263
dany,-0.23677548465175666
jojen,-0.25900853429481496
davos,-0.26120254300346918
meera,-0.28520623399610284
hodor,-0.39998276023640206
