feature,weight
sam,1.2979746479807936
gilly,1.0799388392239913
sams,0.78335274677179612
slayer,0.67562922539092407
crasters,0.62653618509067222
aemon,0.54976328641960293
gillys,0.49595786181999568
wights,0.48245062603567934
dareon,0.47888548901245775
samwell,0.44627061925402989
paul,0.4385673662509581
xhondo,0.43091427440940161
dragonglass,0.43022471398975226
aemons,0.42540130650734009
grenn,0.41077678610721791
tarly,0.40158699027444683
babe,0.37043255406948272
edd,0.3671820867229118
dolorous,0.34097070108858485
craster,0.3235123900946314
blacks,0.31793000775704405
oldtown,0.31249375364699844
pauls,0.31055285828683032
obsidian,0.29120187328825897
kojja,0.28400886636881278
commander,0.28389635954897968
wildling,0.2758471047156954
pyp,0.26088911712756979
cotter,0.24925713558229207
wight,0.24620973973915916
dallas,0.24191298764409458
braver,0.23755467406743003
cinnamon,0.23734778896907763
citadel,0.23525655620902775
voyage,0.23404867943157287
horn,0.22755365190425453
randyll,0.22712936641847536
dickon,0.22149891323614934
blackbird,0.21852225705864964
craven,0.2132752660856583
whitetree,0.21246143245586757
snow,0.21216980894597842
denys,0.21106845148822262
janos,0.2087495470122272
alliser,0.206678639603461
squeak,0.20137102218493669
archmaesters,0.19688656136398733
mormonts,0.19239742886802993
fist,0.18317388742936033
coldhands,0.18309353280167776
bernarr,0.1818474798367905
bannen,0.18099544342898061
books,0.18016115981219644
pyke,0.17297553669752219
melisandre,0.17245884476415996
ravens,0.17187302086811967
choosing,0.17059708063437246
braavos,0.17043266032095233
alleras,0.16969303311560985
maesters,0.16629989847502835
sphinx,0.16568496863641621
terro,0.16560235214800115
lagoon,0.16511373665611911
eastwatch,0.16493275975988506
mo,0.16108693414798758
dywen,0.1596411422659946
furs,0.15754700019548995
cabin,0.15722876034171873
dareons,0.15635652056376095
ringwall,0.15537795612926453
yarwyck,0.15519812456365131
egg,0.15489285136764963
feebly,0.15415382579810405
quhuru,0.1537544699196009
convince,0.15148446895308426
swordbelt,0.15123637537154913
ahooo,0.15043070116529192
fighter,0.14957895230878102
hill,0.14931790360132766
slynt,0.14642659571745109
othell,0.14632225088108627
mallister,0.14579488880969124
bears,0.14535084969611489
puffing,0.14439303109788693
archmaester,0.14417087883953908
skagos,0.14380429855290422
maps,0.14167932338581693
maybe,0.14153211242079267
aboard,0.14042416877442049
canal,0.14029943379907983
sobbing,0.13985180495056704
steward,0.13969932554475134
wrote,0.13936987988588836
blane,0.13914174699435633
withdrawn,0.13874505216495606
garron,0.13756679230890587
wildlings,0.13739014447860073
hardly,0.13733508623476481
saying,0.13629218429834314
karl,0.13553607395811706
socks,0.13455692964922805
clubfoot,0.13409267632188726
desperately,0.13344235574976379
swim,0.13291559805968031
honeywine,0.13282673478410356
deck,0.13272019608785873
novice,0.13267232813710209
novices,0.13235523077615766
theys,0.1322953794812998
stabbed,0.13174623124171359
support,0.13032342307403041
bowen,0.13015542854502282
rum,0.12966729520046849
riddler,0.12910428743154712
peg,0.12887830680636403
frozen,0.12862166136027925
spearhead,0.12681408801186247
blisters,0.12647595302588174
characters,0.12582378486638898
theobald,0.12582378486638898
