feature,weight
sam,1.2979746479807936
gilly,1.0799388392239913
sams,0.78335274677179612
slayer,0.67562922539092407
crasters,0.62653618509067222
aemon,0.54976328641960293
gillys,0.49595786181999568
wights,0.48245062603567934
dareon,0.47888548901245775
samwell,0.44627061925402989
paul,0.4385673662509581
xhondo,0.43091427440940161
dragonglass,0.43022471398975226
aemons,0.42540130650734009
grenn,0.41077678610721791
tarly,0.40158699027444683
babe,0.37043255406948272
edd,0.3671820867229118
dolorous,0.34097070108858485
craster,0.3235123900946314
