feature,weight
joffrey,-0.096023564150377133
hound,-0.097090043456761546
wolves,-0.097126788832759631
dwarf,-0.097460459809829897
luwin,-0.098989792848509339
cersei,-0.1013136879065455
sept,-0.10472419057867476
eddard,-0.10638488166530852
closer,-0.10665260436452965
nd,-0.10938038758101142
giants,-0.10993505271613044
direwolf,-0.11438570836614395
uncle,-0.11470061585269493
jaime,-0.11480507059430027
ll,-0.11638424998216523
hodor,-0.11736663558357273
bran,-0.13150607216229479
sansa,-0.13409484117566026
tyrion,-0.13413741712448141
arya,-0.18016136817100042
