feature,weight
sansa,1.4762984916848796
dontos,1.3281765615519348
joffrey,0.86192872400481191
sansas,0.77404915449400125
joff,0.73799587711424008
florian,0.6718692490724627
mordane,0.63851216463637039
jonquil,0.62728071139591035
septa,0.56569711485283147
lothor,0.56454195743152213
hound,0.55960976154298292
joffreys,0.54760714753605577
brune,0.51544559893612507
ilyn,0.50653834662326858
maegors,0.45262932356688862
gallant,0.41573956080295116
sweetling,0.39327605234455232
sandor,0.39254789974102133
kingsguard,0.37445330182840486
margaery,0.37316022283850558
alayne,0.37038277124565394
baelish,0.36308464437708321
tummy,0.36063945747438658
baelor,0.35830075350146179
boros,0.35679772894611694
gown,0.35453680980088131
kettleblack,0.34750541500000043
queens,0.34738744628719459
songs,0.33535416870342111
ballroom,0.32837096980774527
petyr,0.32765558828806235
imp,0.3252658726014695
godswood,0.32358034745319153
betrothed,0.320094960862088
beautiful,0.31810288993718011
osfryd,0.31759580758083866
traitor,0.31403203434859805
loras,0.30732722575809468
rubies,0.30552757458449009
holdfast,0.28617027080387553
magical,0.2813007590898603
willas,0.27945388559304002
garlan,0.2738143106618337
clegane,0.27034606008989631
nestor,0.26926465524093096
ygrace,0.26911751560993036
drunk,0.26500791699315285
nervously,0.26410390877923784
decreed,0.2624271923739469
redwyne,0.26080604098952404
jeyne,0.26034682177997448
cakes,0.25985289293380942
meryn,0.25907147445948719
oswell,0.25768050012409516
gallery,0.25520524655539323
marillion,0.2509673850310965
net,0.24945660144018725
kind,0.2476011022110999
crimson,0.24610151107635106
payne,0.24385920170840802
dragonknight,0.24030009235142524
imps,0.23984789558757275
marry,0.2394609920137446
aunt,0.2381951868097926
handsome,0.23816027053038563
tanda,0.23752963400814264
horror,0.23751439610524128
sept,0.23684466584997349
gentle,0.23618249681206557
song,0.2322556595931386
broomstick,0.22632715924850433
cheek,0.22612095049025918
traitors,0.22446457719673574
paramount,0.22436626505116813
rasped,0.22362566046779725
xho,0.22312441214116083
guests,0.22188315171422884
tears,0.22150320712015034
cloaks,0.22116499062948561
dog,0.21995555190712968
ladies,0.21989081959210965
slynt,0.21873026752530039
singers,0.21818395023607784
shutters,0.21754461021423538
swann,0.21700602109182077
heralds,0.21693045622205392
drawbridge,0.21667323879878131
dais,0.21656026380170773
dress,0.21598936690206161
arys,0.21497524317347724
rasp,0.21470186381197465
uncle,0.21371291986570592
tyrell,0.21348174046643081
poole,0.2100171799649331
sobbing,0.20969225884134507
courtesies,0.20898316749446044
drunken,0.2054236679051511
caron,0.20339368815246861
terrible,0.20190159359956369
royce,0.20176816306677586
kindness,0.2007170133105407
tooth,0.1996443460132111
horas,0.19909849453566331
flowering,0.19738076347408967
flowers,0.19735817125571231
lance,0.1971200946186496
lemon,0.1966828013895652
brave,0.19647041431163625
twitched,0.19607601829418994
lysas,0.19533021704484965
stain,0.19482211186568074
fossoway,0.19182020590046681
supposed,0.19147334640515448
wicked,0.19079937877520287
hobber,0.19041845169415245
consents,0.18875947811195809
butterbumps,0.18850042776270787
petyrs,0.18675152742183335
lollys,0.1862482676909675
loyal,0.18537343407453746
courage,0.18530640304973162
patted,0.18473476968032396
tenderly,0.18453141288162492
bedchamber,0.18343609697878635
harlaw,0.18299606950837038
weeping,0.18168047502470544
kiss,0.18104732173650409
asha,0.1805361858685629
elinor,0.18019038967425566
aemon,0.17854712158131025
curtains,0.17821947671469754
amethysts,0.1779739505986912
shocked,0.17793995800201859
megga,0.17596278499007628
horrified,0.17549543731797143
galley,0.1748056548278201
sing,0.17399367676906194
wouldnt,0.17379245150569092
treason,0.17329037680239209
graciously,0.17316633148007093
smoothed,0.17218833360198887
hounds,0.17207111410148088
undressed,0.17074637375064838
velvet,0.1705381631281587
morros,0.17043217941729658
lovely,0.16929331470929787
councillor,0.16924555510559852
averted,0.16898101441651739
grandsons,0.16895082773384862
yohn,0.16853732130146787
step,0.16836882903323344
shed,0.16835674248086444
safety,0.1678552430370007
ugly,0.16767726689675694
brushed,0.16692484999217549
lancel,0.16682199955451896
treasons,0.16666067021857364
alannys,0.16580510376823485
sigil,0.16576521504327543
trembling,0.16555161827639231
arent,0.16547137102353365
balons,0.16525122764474515
upset,0.16491491052907423
protector,0.16428373794356899
page,0.16420015945140115
pavilions,0.16326017549725097
sang,0.1625649971714756
balon,0.16237190325901485
singing,0.16222306116382676
chased,0.16078395595914421
scaring,0.160586881400204
lists,0.16046745247354063
barred,0.16027964660829147
osmund,0.16022381162363913
saved,0.15995842697356824
blotchy,0.15930003445941054
silly,0.1586800923490288
stewards,0.15852490312265596
council,0.15791792875610394
commanding,0.15754926283575421
dizzy,0.15730727620709539
returns,0.15698153253412833
jalabhar,0.1566807192289856
snack,0.15602191551857447
juice,0.15588001663000212
albar,0.15559230532395313
present,0.15431436858775446
aunts,0.15404667127541433
thank,0.15382076838512931
wheelhouse,0.15363544412372251
balled,0.15298628385278193
bryen,0.15275142582397858
gently,0.15271505183316295
seamstress,0.15220950405190969
hush,0.15201409745212568
philip,0.15193520534483293
flowered,0.15189563354508515
tris,0.1515309798887082
alla,0.15122380849386929
stair,0.15091482243484861
freerider,0.15050067790757549
bog,0.15004994876846761
oarsman,0.14914496113120512
anxiously,0.14907828890596075
serpentine,0.14814759520245224
headed,0.14798148250058515
wailed,0.1479168613333359
ruined,0.14787111767906819
lied,0.14754815351436668
throne,0.14752516794284784
headsman,0.14750416934702654
uncles,0.14709737115246474
rough,0.14670288807055434
thanked,0.14655943159177043
highgarden,0.14645661052930717
pure,0.14602073217673206
hate,0.14598687168366881
comely,0.1459755714046044
trant,0.14541887604523177
hugged,0.14534824706449434
lancels,0.14522211478508995
save,0.14510423580234946
charger,0.14487787412786196
blacktyde,0.14422614956211732
arbor,0.14411250924998045
ringing,0.14405177963389856
fastened,0.14384619093325021
breathless,0.14318914362948082
jousts,0.1431412378448183
vanguard,0.14308444847131652
cheers,0.14306703713208765
mycah,0.14270733656910645
granted,0.14230853451838346
court,0.14226642642678156
befits,0.14177137191576511
bulwer,0.14133407546046639
sigfryd,0.14108344031045356
merry,0.14046751259058707
gallantly,0.14005772812940734
motley,0.13940978682429978
botley,0.13892035708063891
margaerys,0.13882510607513565
service,0.13845166271237369
isnt,0.1378176615189993
singer,0.13753087029552291
gatehouse,0.13720740945479243
osney,0.13709443457976631
grisel,0.13677486545606074
musicians,0.13661962238909775
nymerias,0.13657097346349717
wynch,0.13647265694627461
ancestral,0.13641010744568102
sers,0.13597235337766911
course,0.13574537829282998
startled,0.13556805078246184
broth,0.13491686893747296
lion,0.13447925410453046
sticky,0.13422133329873298
lions,0.13420663250588299
womanhood,0.13401282918109172
gasp,0.13398656448796656
cried,0.13385942147815563
olenna,0.13351169761629628
punish,0.13269208656855902
beaten,0.13261678000271099
garden,0.13229683810784471
joy,0.13196289868080238
theyve,0.13177381204366143
bryce,0.1317545208688583
bird,0.13150910265427979
youd,0.13138880883074311
tandas,0.13136313572224206
shield,0.131112421386884
messy,0.13093357694032282
kissed,0.13077507143753725
darling,0.13053474094890036
serving,0.13037471884213075
kaeths,0.13034839120482164
hollard,0.1297334110101197
mocked,0.12963505053616506
silk,0.1294250989026183
wyk,0.1293594336973124
jugglers,0.12914315829966122
oakheart,0.1291011775280948
chose,0.12904533545631602
gyles,0.12881326668326776
poor,0.12862181260715239
wedding,0.12855956178198844
blurted,0.12839602312229134
pinching,0.12833139941595523
crane,0.12807572189498864
kella,0.12784250338293129
killing,0.12748811104346097
mustnt,0.12717973747315992
brella,0.12707088286353146
spoon,0.12691080345492123
ivory,0.12668948218944906
mace,0.12662975990783698
tristifer,0.12641582302790405
dwarf,0.12631096666497188
fading,0.12613304119817395
marwyn,0.12599622078884404
ast,0.12587749904652057
extreme,0.12587749904652057
leonette,0.12537373011498115
font,0.12531675644589491
servants,0.12513824236451754
hadnt,0.12510635576579124
grabbed,0.12506906338874263
scrollwork,0.12493579616402434
stickiness,0.12492005344655355
cradled,0.1242451610392515
tolling,0.12423052719348318
kingly,0.124209008760409
cluster,0.12391266835436876
masked,0.12366111412873038
blackwaters,0.12362111771917973
aron,0.12315569585698925
aswirl,0.12305702872949489
mercy,0.12295550004765801
dismissed,0.1229032827724984
clattering,0.12280048656086615
janna,0.1225281773591978
happened,0.12243973804922575
bedmaid,0.12210511736116109
gossip,0.12098653654566689
unworthy,0.12094208322761879
washer,0.12067495625709346
nodding,0.12062862489150183
marbrand,0.12046500523859568
alyn,0.12044570452712952
gwynesse,0.12039007421270444
jeweled,0.12035428381253485
breakfast,0.12026719893172746
andar,0.12024496865677843
belmore,0.12021615122252791
ryam,0.1201934155605035
mord,0.11979004382143499
wrist,0.11970345733317111
frightened,0.11949137787231118
fragrance,0.11946989577124795
collar,0.11941682548454571
field,0.11920569832107213
jeynes,0.11910782445722887
fealty,0.11894134582782863
littlefinger,0.11863633042846719
squirming,0.11858312614261995
today,0.11852005070508415
beric,0.11842066480619864
wept,0.11837824490010404
auburn,0.11821018000292272
protect,0.11817440413917921
frenken,0.11793158538522978
willful,0.11787644095606266
tame,0.11770985224449461
maids,0.11750829005629707
lymond,0.11736059640574986
sickly,0.11731374295863153
rowan,0.11716594897165243
laughs,0.11715996132533388
tries,0.11710728859049074
guyard,0.11708401964243378
pellets,0.11687832816089111
seized,0.11686630762511963
moore,0.11660871859975502
thankfully,0.11659750244401554
rude,0.11653081987887892
framed,0.11611320786262563
foote,0.11591370884699283
attendant,0.11588505961537861
spoiled,0.11570611710986461
welts,0.1156879830127219
nuncle,0.1156151197556778
pretty,0.11555047272835406
pray,0.11548440697315893
favorites,0.11545237087895995
garth,0.11533194487524659
kingsmoot,0.11528971177726212
terribly,0.11527277602515175
picked,0.11522937845611321
salad,0.11516221433299914
murmuring,0.11512732287868578
herald,0.11483682286198918
knell,0.11482699997358077
helpless,0.11460125096079915
honeycakes,0.11435244672699382
stafford,0.11433683028923609
dancing,0.11427988127664832
smelly,0.11403532628207759
shiny,0.11403517500477611
baked,0.11402552547036336
nervous,0.11396628241374848
book,0.11394090723076762
unkindly,0.11393161177121237
doesnt,0.11369042328452056
lapsed,0.11357327891787446
boremund,0.11346483476470488
lanny,0.11346483476470488
myres,0.11346483476470488
husband,0.11343424343008679
unresisting,0.11340849468222
morrigen,0.11330896239989535
oddly,0.11329301566971478
rowed,0.11302160735849325
falcon,0.11301209078571432
wonderfully,0.11280376850368939
coughing,0.11273745221254305
rowing,0.11261854686318144
luthor,0.11261813544302154
maidservants,0.11249630001503962
footsteps,0.1124600160138706
bright,0.11237453654714809
jammed,0.11211114755408727
fastenings,0.11204729841219119
shouts,0.11203255940302273
merrett,0.11190680246599255
skirts,0.11166816254449288
merretts,0.11150618487349646
reigned,0.11137107573118828
anybody,0.11133600762239376
brooch,0.11125471232219891
pomegranate,0.11113016516311462
sharply,0.1111241441711923
swelling,0.1110677491149224
mycahs,0.11073627306164342
cloth,0.11059832723659417
shouldnt,0.11048454921152968
dreamt,0.10979191975744859
