feature,weight
sansa,1.4762984916848796
dontos,1.3281765615519348
joffrey,0.86192872400481191
sansas,0.77404915449400125
joff,0.73799587711424008
florian,0.6718692490724627
mordane,0.63851216463637039
jonquil,0.62728071139591035
septa,0.56569711485283147
lothor,0.56454195743152213
hound,0.55960976154298292
joffreys,0.54760714753605577
brune,0.51544559893612507
ilyn,0.50653834662326858
maegors,0.45262932356688862
gallant,0.41573956080295116
sweetling,0.39327605234455232
sandor,0.39254789974102133
kingsguard,0.37445330182840486
margaery,0.37316022283850558
