feature,weight
pay,-0.14596575266978093
choose,-0.14665240265213916
needs,-0.14676651470543819
dragonstone,-0.14790519607694458
letter,-0.14882917786895705
bones,-0.15318768824283296
damn,-0.15350455194523555
dany,-0.15693690082875064
whore,-0.15942421638369877
offered,-0.16689693378893433
winter,-0.16801567940586998
riverrun,-0.17090892191699114
brans,-0.17168968680509417
gendry,-0.17285481684873072
neds,-0.17764442863204197
waters,-0.19770579392406035
cell,-0.20081641652084614
catelyn,-0.23445849715879724
brienne,-0.27387419573043414
ned,-0.43001510780420277
