feature,weight
theon,0.9210858222902375
wex,0.65243396933380127
asha,0.62399342283589276
lorren,0.53925518910323311
theons,0.52235533835475523
reek,0.51016863879011798
dagmer,0.4277798574810483
urzen,0.41305372839521259
greyjoy,0.40943229897312772
aeron,0.39072986400919713
pyke,0.3490239471505524
cleftjaw,0.34270702526813163
ironborn,0.301918628424094
millers,0.3010085449763123
stygg,0.29596451054905859
rodrik,0.29175592829264274
holly,0.29024306603032624
longships,0.28839527298725443
benfred,0.28556732521917899
longship,0.28108241019589386
smiler,0.27652316238582086
frenya,0.2630596691058445
milord,0.25748637454524359
islands,0.25668184656244841
farlens,0.25460818486603853
deepwood,0.25210320200245417
balon,0.25028110804306253
ramsay,0.2495659877185501
bel,0.24707271060462394
gelmarr,0.24646409089734519
dagmers,0.24104239218885606
motte,0.24102823995190537
rednose,0.23993767368055771
lordsport,0.23636595521567971
farlen,0.23631372604200865
aggar,0.23353918536067617
tallhart,0.23341059068690206
botley,0.22934259707943908
esgred,0.22700720762343041
myraham,0.22361051290725376
harlaw,0.21927155123391448
kyra,0.21630180247232436
inner,0.21472941827320463
kromm,0.21455828065818966
moat,0.21406928182291879
wyk,0.21175494811515824
thralls,0.21159391428238467
ashas,0.21127232655221045
god,0.2089660285855004
leobald,0.20732480722943722
damphair,0.20684527656346235
ironmen,0.20603194875150579
drawbridge,0.20404019087910705
ale,0.20356260738551185
kraken,0.1993527657047568
drennan,0.1987852615001168
botleys,0.19326394740847486
hosting,0.19228767081873943
drowned,0.19139704246986936
abel,0.19043411880587077
palla,0.19016581361257451
bitch,0.18942415912069333
luwin,0.18876753836214077
bow,0.1879272715287767
werlag,0.18757266650013396
pebbled,0.18611654986915782
trenches,0.18211426295135599
todric,0.18115979707073007
gariss,0.17608065811439377
rowan,0.17329075477358508
sigrin,0.1721587767760068
torchlight,0.17183995856067572
mlord,0.1711236956400633
battlements,0.16947504686436526
rope,0.16917226716753475
seawater,0.16851603676616544
eyeing,0.16797240619340853
outer,0.16688845655843448
gape,0.16602231922999855
starks,0.16586164785115234
manderly,0.1651805726244201
turncloak,0.16231508148548979
hosteen,0.16088599535660433
garb,0.16084676203838905
myrtle,0.16009832481904221
stony,0.15791324728509493
eddard,0.15692898232016506
uncles,0.15642036691906835
breasts,0.15589125241704965
sour,0.15474685576494729
marks,0.15426504927650733
torrhens,0.1516607152227698
rolfe,0.15084021198570233
bedchamber,0.14917715927689609
wolfskins,0.14841545596617314
shaft,0.14834817529735417
main,0.14785429988869686
squirrel,0.14632432842290649
joseth,0.14591951480875229
cailin,0.14582070550666132
dreadfort,0.14518308667257762
stonehouses,0.14504766063617006
murch,0.14481462078546828
washerwoman,0.14446609011935541
merlon,0.14327893121096685
bless,0.14281877775519336
cunning,0.1420849825919559
crenel,0.14182282574590122
priest,0.14150966974291795
greyjoys,0.14043851063596724
skinner,0.13884560661738338
shore,0.13865296357398901
spray,0.13810266912317398
rya,0.13803297265771955
harlaws,0.13796703573321023
axe,0.13737464256842491
wolfswood,0.13707678976238957
helya,0.13690414293515221
deck,0.13546404056489703
drumms,0.13541896176953719
kneelers,0.13541493290628245
fishwhiskers,0.13514318263380407
foamdrinker,0.13514318263380407
waist,0.13511735705094263
pails,0.13452530838666371
stomach,0.13321711359199992
willow,0.1327464334008536
square,0.13270841470548636
plan,0.1325096058483583
