feature,weight
theon,0.9210858222902375
wex,0.65243396933380127
asha,0.62399342283589276
lorren,0.53925518910323311
theons,0.52235533835475523
reek,0.51016863879011798
dagmer,0.4277798574810483
urzen,0.41305372839521259
greyjoy,0.40943229897312772
aeron,0.39072986400919713
pyke,0.3490239471505524
cleftjaw,0.34270702526813163
ironborn,0.301918628424094
millers,0.3010085449763123
stygg,0.29596451054905859
rodrik,0.29175592829264274
holly,0.29024306603032624
longships,0.28839527298725443
benfred,0.28556732521917899
longship,0.28108241019589386
