feature,weight
darkness,-0.089032921500835388
dry,-0.089630069785560346
wildlings,-0.092766393071300787
renly,-0.095095332312904304
wasnt,-0.096348044561501991
tywin,-0.097241926198215561
mance,-0.099283219821216642
brienne,-0.10050706002972795
dwarf,-0.10096319415048403
sam,-0.10409047481560957
dragons,-0.10787891740527816
crow,-0.11212697942146069
mormont,-0.11266643694228839
sansa,-0.1230381938824041
joffrey,-0.12308476874196199
catelyn,-0.125974674122314
cersei,-0.12714873865118792
jaime,-0.14542335487514663
tyrion,-0.17419719427835789
arya,-0.17722948390763668
