feature,weight
tyrion,2.6504685180993199
bronn,1.3011989478251509
shae,1.1809750640077494
tyrions,1.1110633925153257
dwarf,0.85557610223301173
pod,0.7922992645085063
shagga,0.74286031489852578
varys,0.71646273495372015
jacelyn,0.62350205709195916
waddled,0.57641598547276529
timett,0.57551353874545175
penny,0.56600292089444837
griff,0.56193163800549462
tysha,0.54866311137573609
whore,0.54330562942007887
mandon,0.53087629262196923
tywin,0.48627697515966434
bywater,0.48592405682278395
sellsword,0.47974285751544232
casterly,0.46713593236127654
hugor,0.46432472093372756
podrick,0.46253108485891276
morrec,0.44851289111788789
haldon,0.42831195504768527
stunted,0.42724917090789127
kevan,0.4213539465759274
cersei,0.40632333358568296
nephew,0.40401771435439604
scar,0.40322877923254852
dwarfs,0.40313261441236581
yollo,0.39284136580923534
clansmen,0.39092642932763777
jaime,0.36958656171980081
cyvasse,0.36173173030524886
cock,0.3593215637663284
martell,0.35495845608827759
halfman,0.35102444232382984
eunuch,0.34520893019528887
rhoyne,0.34228091488980733
volantis,0.33448415722266822
payne,0.33134122315023717
yezzan,0.33070190762016372
halfmaester,0.3288804319084464
whores,0.32337865530765003
chatayas,0.3229754892308509
moore,0.30200935196204526
prefer,0.30068480832879974
grotesque,0.29692014715687343
wildfire,0.29264191905026454
doubtless,0.2905298843815271
droll,0.29020773915362919
alayaya,0.28717143072869328
offer,0.2859680763976945
duck,0.28080903367280652
bronns,0.2801767438804188
doran,0.2793414741871576
cocked,0.2780538737914976
sorrows,0.27572043931541168
viper,0.27570334709661654
cramping,0.2750825128778574
cheesemonger,0.27417938087828009
especially,0.27325836008160109
jyck,0.27324975944591978
ysilla,0.27204125114300143
yandry,0.27198985391550423
thirteen,0.27034536838345513
conn,0.27020010645894188
shadowskin,0.26970554035759275
mord,0.26836295317903031
waddle,0.26654778033149534
joffreys,0.26626193163465511
lesson,0.262589011016089
qhoran,0.26104122929768053
selaesori,0.26104122929768053
lemore,0.26048060284782676
erected,0.26036846582330481
shaes,0.25868423901236431
oberyn,0.25834331927017401
deck,0.25802706984810614
manse,0.25475553690603819
