feature,weight
tyrion,2.6504685180993199
bronn,1.3011989478251509
shae,1.1809750640077494
tyrions,1.1110633925153257
dwarf,0.85557610223301173
pod,0.7922992645085063
shagga,0.74286031489852578
varys,0.71646273495372015
jacelyn,0.62350205709195916
waddled,0.57641598547276529
timett,0.57551353874545175
penny,0.56600292089444837
griff,0.56193163800549462
tysha,0.54866311137573609
whore,0.54330562942007887
mandon,0.53087629262196923
tywin,0.48627697515966434
bywater,0.48592405682278395
sellsword,0.47974285751544232
casterly,0.46713593236127654
