feature,weight
tree,-0.25006777897502763
jons,-0.25344415808888993
roberts,-0.2566799233001103
theon,-0.26388865933680622
tarth,-0.26845836150590202
sansa,-0.27452807096633347
swore,-0.28473935360968927
horn,-0.28727299530257816
kingslayer,-0.29573892533348417
dontos,-0.29987933616192697
catelyn,-0.32151723166927509
qyburn,-0.3232670019245647
sam,-0.32463413881758912
davos,-0.34224444086680461
neds,-0.35283047508976811
wench,-0.37135903107566104
dany,-0.51215824402929944
arya,-0.52279346818932848
ned,-0.57186679390101258
brienne,-0.57505817327548037
